Name,AI Type,Commercial Type,Product,Description,Product Category,Package,Quick Filters,Availability,Identifier,Detail Page
"AI Scores","AI Feature","Base","SAP Engagement Cloud","Build customer segments powered by AI.","Customer Relationship Management","","","Generally Available","J837","https://discovery-center.cloud.sap/ai-feature/0482c3b0-8159-48c5-ad39-cd64de07394e/"
"AI-Assisted Authoring","AI Feature","Premium","SAP Enable Now‚ cloud edition","Enrich enablement content automatically with AI support.","Human Capital Management","","","Generally Available","J70","https://discovery-center.cloud.sap/ai-feature/d45d7c1a-40ce-4494-a8de-3fec3c9e6e99/"
"AI-Assisted Calculations","AI Feature","Premium","SAP Analytics Cloud","Generates and explains calculations using natural language.","Financial Management","","","Generally Available","J471","https://discovery-center.cloud.sap/ai-feature/b0112bf9-3bff-4991-b029-44248df82479/"
"AI-Assisted Commenting","AI Feature","Premium","SAP Analytics Cloud","Summarize existing comments and rephrase new comments when authoring.","Financial Management","","","Generally Available","J275","https://discovery-center.cloud.sap/ai-feature/3a0d3a44-e0c6-42e9-b489-cbbd0c1d1030/"
"AI-Assisted Forecasting","AI Feature","Base","SAP Integrated Business Planning","Generate forecasts for scenarios or areas of your business.","Supply Chain Management","","","Generally Available","J818","https://discovery-center.cloud.sap/ai-feature/aa288890-0418-4503-a549-12bcc1a5a67d/"
"AI-Assisted Forecasting","AI Feature","Base","SAP Returnable Packaging Management","Create forecast for packaging demand.","Supply Chain Management","","","Generally Available","J833","https://discovery-center.cloud.sap/ai-feature/0369fa2c-159e-4f75-b16b-451e71618f00/"
"AI-Assisted Recommendations","AI Feature","Base","Concur Travel","Provide flight and car recommendations to users.","Spend Management","","","Generally Available","J199","https://discovery-center.cloud.sap/ai-feature/faf4d13f-b190-4af3-9cd8-cdc233e4ec40/"
"AI-Assisted Scouting","AI Feature","Base","SAP Sports One","Q&A on scouting reports and match reports.","Technology Platform","","Joule","Generally Available","J302","https://discovery-center.cloud.sap/ai-feature/5bd44b95-d8b0-4bcb-af6d-83f9d6b54d0c/"
"AI-Assisted Search","AI Feature","Premium","SAP Datasphere","Enables natural language search queries directly within in SAP Datasphere.","Technology Platform","","","Generally Available","J108","https://discovery-center.cloud.sap/ai-feature/68658ffa-898f-4e8d-888f-b48e3be618f5/"
"AI-Assisted Texting","AI Feature","Base","SAP LeanIX solutions","Simplify and standardize text creation by analyzing content and context.","Technology Platform","","","Generally Available","J47","https://discovery-center.cloud.sap/ai-feature/86968b11-6426-4749-90c5-39d6711514a7/"
"AI-Assisted Writing","AI Feature","Premium","SAP SuccessFactors solutions","Enhance the quality of the content writing in text fields.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J41","https://discovery-center.cloud.sap/ai-feature/d686bb39-e55a-49f2-a303-2c06fd802304/"
"Allocation Run Results","AI Feature","Base","SAP S/4HANA Cloud Public Edition","View allocation results attributes and navigate to results app.","Financial Management","","Joule","Generally Available","J1003","https://discovery-center.cloud.sap/ai-feature/58e5fdf9-b00a-414b-97ef-74c65c21b10b/"
"Analysis of Inventory Optimization Results","AI Feature","Premium","SAP Integrated Business Planning","Analyze safety stock output and support root cause analysis.","Supply Chain Management","Joule Premium for Supply Chain Management","","Generally Available","J428","https://discovery-center.cloud.sap/ai-feature/6ae58e5c-05b5-450f-8d6d-1ee27a0b83e4/"
"Analytical Business Insights","AI Feature","Premium","SAP S/4HANA Cloud Public Edition","Quickly analyze‚ summarize‚ and turn data into clear insights.","Financial Management","Joule Premium for Financial Management","","Generally Available","J88","https://discovery-center.cloud.sap/ai-feature/864e421f-e2dd-4f84-9aad-ea57294f75fd/"
"Analytical Insights","AI Feature","Base","Joule","Get analytical insights with natural language from any SAP business application.","Technology Platform","","Joule","Generally Available","J148","https://discovery-center.cloud.sap/ai-feature/b354ca6f-3bbc-43d0-9c83-b3140b925962/"
"Anomaly Detection","AI Feature","Base","SAP Asset Performance Management","Identify and monitor unusual patterns or behavior in technical objects.","Supply Chain Management","","","Generally Available","J78","https://discovery-center.cloud.sap/ai-feature/9e7f8b8b-77c6-48aa-9b6e-1f027879a587/"
"Anomaly Detection","AI Feature","Base","SAP Integration Suite","Identify and respond to unusual patterns or deviations in API traffic.","Technology Platform","","","Generally Available","J606","https://discovery-center.cloud.sap/ai-feature/c1bf4c86-b2bc-4101-b51d-bc5904ff5924/"
"API traffic prediction","AI Feature","Base","SAP Integration Suite","Identify trends in API calls and predict future API traffic.","Technology Platform","","","Generally Available","J243","https://discovery-center.cloud.sap/ai-feature/f74d29df-40d1-498f-905d-90b7af685799/"
"Applicant Screening","AI Feature","Premium","SAP SuccessFactors Recruiting","Match the applicant's skills with the ones required for a job.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J63","https://discovery-center.cloud.sap/ai-feature/3ea4fec4-1f6d-4865-9459-54ac5b337641/"
"Assignment Creation","AI Feature","Premium","SAP SuccessFactors Opportunity Marketplace","Create and edit assignments using generative AI.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J136","https://discovery-center.cloud.sap/ai-feature/f01b7a9c-23af-48f3-8f64-7bea3de91f25/"
"Assignment Duration Prediction","AI Feature","Base","SAP Field Service Management","Predict the assignment duration based on historic data.","Supply Chain Management","","","Generally Available","J827","https://discovery-center.cloud.sap/ai-feature/03a87a45-87e2-4cb6-9bd0-cc45b4ac0b06/"
"Auto-Scheduling","AI Feature","Base","SAP Field Service Management","Fully automate your planning and streamline your field service operations.","Supply Chain Management","","","Generally Available","J829","https://discovery-center.cloud.sap/ai-feature/1186258c-64fc-4bd8-b489-0606eaf917e9/"
"Automated Emission Factor Mapping","AI Feature","Base","SAP Sustainability Footprint Management","Map purchased products and purchased product groups with AI.","Sustainability Management","","","Generally Available","J58","https://discovery-center.cloud.sap/ai-feature/6de0ca8d-698a-4fc3-a4e9-93bbcb7ef568/"
"Automated Scheduling Analytics","AI Feature","Base","SAP Field Service Management","Explain SAP Field Service Management auto-scheduling results.","Supply Chain Management","","New","Generally Available","J1134","https://discovery-center.cloud.sap/ai-feature/b7b38102-02a7-4168-b0b5-140d80b6e618/"
"Automatic Outlier Correction","AI Feature","Base","SAP Integrated Business Planning","Automatically detect and correct outliers in time series data.","Supply Chain Management","","","Generally Available","J79","https://discovery-center.cloud.sap/ai-feature/5e1294e8-d7ab-4449-86ff-808caebb2421/"
"Backend Entity Extraction","AI Feature","Premium","SAP Enterprise Service Management","Extract information and create entities in backends of SAP solutions.","Customer Relationship Management","","","Generally Available","J141","https://discovery-center.cloud.sap/ai-feature/4acc49c0-4605-46b1-865a-6298c866072e/"
"Batch Release Processing","AI Feature","Base","SAP Batch Release Hub for Life Sciences","Users can easily access critical information and make decisions swiftly.","Product Lifecycle Management","","Joule","Generally Available","J304","https://discovery-center.cloud.sap/ai-feature/8d70903b-faa7-4f5d-ae4a-123557fdd733/"
"Behavioral Insights for Contract Accounting","AI Feature","Premium","SAP S/4HANA Cloud Private Edition","Analyze historical customer behavior and predict‚ explain payment risk.","Financial Management","","","Generally Available","J765","https://discovery-center.cloud.sap/ai-feature/9b9439fc-3681-446c-989e-2540e2897331/"
"Booking Agent","AI Agent","Base","","Streamline trip planning for business travelers.","Technology Platform","","Joule","Generally Available","J650","https://discovery-center.cloud.sap/ai-feature/47844870-d3f6-4ffd-abdf-945d6bc20ae7/"
"BPMN Simulation Insights","AI Feature","Premium","SAP Signavio solutions","Transform simulation results into AI-powered insights for faster decisions.","Technology Platform","","New‚Joule","Generally Available","J1143","https://discovery-center.cloud.sap/ai-feature/45016b64-67d3-457e-a836-9ac08b193722/"
"Bulk Translation","AI Feature","Premium","SAP SuccessFactors solutions","Instantly translate preset page content into multiple languages with ease.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J271","https://discovery-center.cloud.sap/ai-feature/f793a99e-8d57-45f2-958a-fcf71d61e5ee/"
"Business Integrity Screening","AI Feature","Premium","SAP Business Integrity Screening for SAP S/4HANA Cloud‚ private edition","Scan large volumes of data in real time with increased accuracy.","Financial Management","","","Generally Available","J759","https://discovery-center.cloud.sap/ai-feature/6a50a96f-e86c-4f48-9faa-5f6594309750/"
"Business Interaction Intelligence","AI Feature","Base","SAP Sales Cloud Version 2","Provides insights for appointments and visits.","Customer Relationship Management","","","Generally Available","J799","https://discovery-center.cloud.sap/ai-feature/873f5df1-7f2f-4f3e-a710-9a8ff64c4301/"
"Business Text Intelligence","AI Feature","Base","SAP Sales Cloud Version 2","Get actionable insights for appointments from note texts.","Customer Relationship Management","","","Generally Available","J798","https://discovery-center.cloud.sap/ai-feature/2ca27b04-179b-4b91-8c17-4c98f3cb364e/"
"Carbon Emission Analysis","AI Feature","Premium","SAP Green Ledger","Generate ad hoc reports for detailed carbon data analysis.","Financial Management","Joule Premium for Financial Management","Joule","Early Adopter Care (EAC)","J529","https://discovery-center.cloud.sap/ai-feature/e3bee344-1efb-413b-971c-f837c1474b07/"
"Career Insights","AI Feature","Premium","SAP SuccessFactors Career and Talent Development","Get insights into employees' development actions towards target role.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J137","https://discovery-center.cloud.sap/ai-feature/0de86c2c-e2e8-4c76-9774-612af138e043/"
"Case Categorization","AI Feature","Base","SAP Enterprise Service Management","Automate the case categorization process.","Customer Relationship Management","","","Generally Available","J801","https://discovery-center.cloud.sap/ai-feature/d49736a2-372f-4bdc-8d06-f0bb5117d3e3/"
"Case Categorization","AI Feature","Base","SAP Service Cloud Version 2","Automate the case categorization process.","Customer Relationship Management","","","Generally Available","J850","https://discovery-center.cloud.sap/ai-feature/cac4bd46-0b7e-4e98-8f8d-585c3bba26bd/"
"Case Classification Agent","AI Agent","Premium","","Analyze and classify customer service tickets and cases.","Customer Relationship Management","Joule Premium for Customer Experience","Featured","Generally Available","J937","https://discovery-center.cloud.sap/ai-feature/ae306b48-6dfd-4384-bc70-0a3a4f754867/"
"Case Summary","AI Feature","Premium","SAP Enterprise Service Management","Generate Case summary based on email interactions.","Customer Relationship Management","","","Generally Available","J727","https://discovery-center.cloud.sap/ai-feature/8aa60c53-e97c-4aae-ae81-1ca48c24bdc7/"
"Case Summary","AI Feature","Premium","SAP Service Cloud Version 2","Create a case summary using the email communications.","Customer Relationship Management","Joule Premium for Customer Experience","","Generally Available","J8","https://discovery-center.cloud.sap/ai-feature/7062122c-d0be-4691-940b-1f3c275617f6/"
"Case Topic Analyzer","AI Feature","Base","SAP Enterprise Service Management","View trending topics from cases.","Customer Relationship Management","","","Generally Available","J814","https://discovery-center.cloud.sap/ai-feature/ae71951e-9c6b-457f-9c7f-2cb3daa901f4/"
"Case Topic Analyzer","AI Feature","Base","SAP Service Cloud Version 2","View trending topics from cases.","Customer Relationship Management","","","Generally Available","J854","https://discovery-center.cloud.sap/ai-feature/09264474-b50b-4ba7-af49-75108ddc8a87/"
"Case Type Determination","AI Feature","Base","SAP Enterprise Service Management","Determine the case type during the conversion of email to case.","Customer Relationship Management","","","Generally Available","J815","https://discovery-center.cloud.sap/ai-feature/7cbca359-15ba-409f-8992-c67c13257529/"
"Case Type Determination","AI Feature","Base","SAP Service Cloud Version 2","Determine the case type during the conversion of email to case.","Customer Relationship Management","","","Generally Available","J793","https://discovery-center.cloud.sap/ai-feature/9ad22245-4a30-4493-8b74-9b7c5dcc4a0b/"
"Cash Management Agent","AI Agent","","","Find out deficit and surplus bank accounts and propose the bank transfer.","Financial Management","","Joule","Beta","J585","https://discovery-center.cloud.sap/ai-feature/cd99c7b2-f716-46ab-8fe5-640f9aa02613/"
"Cash Management Agent","AI Agent","","","Automate reconciliations and propose cash optimizations.","Financial Management","","Joule","Beta","J425","https://discovery-center.cloud.sap/ai-feature/61f9300e-11e0-4ca2-acee-ace35c44fae0/"
"Catalog Item Recommendations","AI Feature","Base","SAP Ariba Buying","Suggest products and services based on users' past purchases.","Spend Management","","","Generally Available","J81","https://discovery-center.cloud.sap/ai-feature/a0297dce-3704-4914-907b-33aa8a6b1c1d/"
"Catalog Optimization Agent","AI Agent","","","Optimize product data to boost merchandising accuracy and agility.","Customer Relationship Management","","Featured","Beta","J741","https://discovery-center.cloud.sap/ai-feature/28593981-f647-4d1b-bb1f-709783df1fa6/"
"Category Segmentation","AI Feature","Premium","SAP Ariba Category Management","Generate content recommendations based on AI.","Spend Management","Joule Premium for Spend Management","","Generally Available","J24","https://discovery-center.cloud.sap/ai-feature/e05e0f4d-1b29-4260-99fa-aec0a595a6cf/"
"Category Strategy Recommendation","AI Feature","Premium","SAP Ariba Category Management","Accelerate category planning with AI-powered recommendations.","Spend Management","Joule Premium for Spend Management","","Generally Available","J188","https://discovery-center.cloud.sap/ai-feature/5250c365-fe36-4737-9429-24cbda1a187a/"
"Central Governance","AI Feature","Base","SAP S/4HANA Cloud for master data governance‚ private edition","Streamline master data governance tasks using natural language.","Cloud ERP applications","","Joule","Generally Available","J535","https://discovery-center.cloud.sap/ai-feature/a0399e7f-e105-40a9-9169-d63e768735b8/"
"Change Record Management Agent","AI Agent","","","Reduce engineering change costs and accelerate time-to-market.","Product Lifecycle Management","","Joule","Beta","J788","https://discovery-center.cloud.sap/ai-feature/905534ac-4ede-4c01-a815-476a1643ac7c/"
"Chart of Accounts Upload","AI Feature","Base","Concur Expense","Automate the import of expense accounts from accounting systems into Concur.","Spend Management","","","Generally Available","J610","https://discovery-center.cloud.sap/ai-feature/d1cb475f-b088-471f-8723-c2586d5ee23c/"
"Chart Summary","AI Feature","Premium","SAP Analytics Cloud","Summarizes a SAP Analytics Cloud chart as text in Microsoft PowerPoint.","Financial Management","","","Generally Available","J139","https://discovery-center.cloud.sap/ai-feature/825764c4-6de1-4789-bd0c-74243c60854b/"
"Code Generator for Custom Logic","AI Feature","Base","SAP Entitlement Management","Generate JavaScript to change entitlements from user requirement descriptions.","Financial Management","","","Generally Available","J703","https://discovery-center.cloud.sap/ai-feature/6d93231d-580e-43af-a9e4-4755223a1375/"
"Commodity Work Center","AI Feature","Premium","SAP Commodity Management","Simplifies data entry related to deals for commodity traders.","Technology Platform","Joule Premium for Supply Chain Management","New","Generally Available","J198","https://discovery-center.cloud.sap/ai-feature/56272991-a5e7-4817-bd58-f6714f80e6d8/"
"Compliance Information Processing","AI Feature","","SAP S/4HANA Cloud Public Edition","Extract compliance disclosures data and map to SAP S/4HANA Cloud regulations.","Financial Management","","","Beta","J345","https://discovery-center.cloud.sap/ai-feature/57f00cc9-d292-4fd6-baec-cb4a6336c70c/"
"Compliance Issue Decision Support","AI Feature","Base","SAP Risk and Assurance Management","Predict the outcome of new compliance issues based on historic decisions.","Financial Management","","","Generally Available","J191","https://discovery-center.cloud.sap/ai-feature/b4112dfa-12a4-43f8-b195-e6661fcad875/"
"Configuration for US Tax Jurisdictions","AI Feature","Premium","SAP S/4HANA Cloud Public Edition","Simplify tax maintenance for the internal sales & use tax solution for the US.","Financial Management","Joule Premium for Financial Management","","Generally Available","J89","https://discovery-center.cloud.sap/ai-feature/e547d658-368e-426f-986e-97e574bfb475/"
"Content Creation and Summary","AI Feature","Base","SAP Build Work Zone‚ advanced edition","Generate‚ summarize & comment with AI to increase content creation efficiency.","Technology Platform","","","Generally Available","J202","https://discovery-center.cloud.sap/ai-feature/39ef0f64-fc3b-4420-92ee-fa5e052d486b/"
"Content Generation for Catalog","AI Feature","Premium","SAP Datasphere","Automates the creation of business rich metadata in the catalog.","Technology Platform","","","Generally Available","J224","https://discovery-center.cloud.sap/ai-feature/15213c47-7c33-4787-a97b-d28f3a031c5a/"
"Content Search","AI Feature","","SAP Signavio solutions","Semantic search engine that interprets user terminology for tailored results.","Business Transformation Management","","","Beta","J779","https://discovery-center.cloud.sap/ai-feature/31657cef-3bb1-4d61-b7b6-0d7b36a328be/"
"Context Analyzer‚ Sentiment Analysis","AI Feature","","SAP Signavio solutions","Analyze customer sentiment with AI to reveal process impact and boost loyalty.","Business Transformation Management","","","Beta","J322","https://discovery-center.cloud.sap/ai-feature/1b4de3e7-2d74-4095-b606-5e925edcc1e3/"
"Context Analyzer‚ Text to Event Matching","AI Feature","","SAP Signavio solutions","Matches free-text entries to process events using AI for actionable insights.","Business Transformation Management","","","Beta","J323","https://discovery-center.cloud.sap/ai-feature/c0d3da93-4a48-40c6-962e-f6391bc6843f/"
"Context Generation","AI Feature","Base","SAP LeanIX solutions","Provide users with task explanations for better understanding.","Technology Platform","","","Generally Available","J46","https://discovery-center.cloud.sap/ai-feature/fa2762c1-5080-480b-bf93-103933a0af11/"
"Contract Accounting","AI Feature","Premium","SAP Cash Application‚ add-on for contract accounting","Automate clearing and recommending proposed matches by accounts receivable.","Financial Management","","","Generally Available","J764","https://discovery-center.cloud.sap/ai-feature/492cf936-7733-408c-85bb-f4e197e8f502/"
"CONTRL-Message Explanation","AI Feature","Premium","SAP Market Communication for Utilities","Simplifies error analysis for CONTRL-message in the German energy market.","Supply Chain Management","","","Generally Available","J132","https://discovery-center.cloud.sap/ai-feature/7c179eaa-d412-4f0e-9773-90b515a43a71/"
"Conversational Planning","AI Feature","Premium","SAP S/4HANA Cloud Private Edition","Carry out planning operations in transportation cockpit using natural language.","Cloud ERP applications","Joule Premium for Supply Chain Management","","Generally Available","J135","https://discovery-center.cloud.sap/ai-feature/54d5a00e-2519-46da-88fa-b58b4f8ff4dc/"
"Cost Structure Creation","AI Feature","Premium","SAP Ariba Category Management","Generate content recommendations based on AI.","Spend Management","Joule Premium for Spend Management","","Generally Available","J22","https://discovery-center.cloud.sap/ai-feature/2717ff1c-0d84-49d2-9ed5-9b5824f4aa51/"
"Creation of Fixed Asset Master Data","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Facilitate the creation of fixed asset master data with Joule.","Financial Management","","Joule","Generally Available","J298","https://discovery-center.cloud.sap/ai-feature/095edf47-cb36-48d8-bd8f-9a4bc9517991/"
"Curve Based Forecasting","AI Feature","Base","SAP Integrated Business Planning","Create reliable predictions when historical data is sparse or incomplete.","Supply Chain Management","","","Generally Available","J822","https://discovery-center.cloud.sap/ai-feature/5f28aaf2-0ff3-45a9-af25-ab079d8cd17c/"
"Custom AI Tool Builder","AI Feature","Premium","SAP CX AI Toolkit","Create custom​ AI tools for business users​ grounded in SAP data.","Customer Relationship Management","Joule Premium for Customer Experience","Joule","Generally Available","J55","https://discovery-center.cloud.sap/ai-feature/1b81dee1-0c63-4d77-b0a2-2f78f01b3906/"
"Custom Release Checks","AI Feature","Premium","SAP Batch Release Hub for Life Sciences","Analyze the documents attached to custom release checks.","Product Lifecycle Management","","","Generally Available","J144","https://discovery-center.cloud.sap/ai-feature/98b2a842-c25c-4b08-bf19-1b48224b0dd3/"
"Dashboard Analyzer Agent","AI Agent","","","Explain insights and drives process improvements in SAP Signavio.","Business Transformation Management","","Joule","Beta","J1132","https://discovery-center.cloud.sap/ai-feature/251eb6f4-4565-4ac7-8e6c-f5eb6df7d210/"
"Data Actions","AI Feature","Premium","SAP Analytics Cloud","Generates advanced formula scripts and comments data action descriptions.","Financial Management","","","Generally Available","J470","https://discovery-center.cloud.sap/ai-feature/8e974edb-5d3e-4500-bc00-8549fbf8edd6/"
"Data Anonymization","AI Feature","Base","SAP Data Privacy Integration","Anonymize unstructured data such as free text‚ text files‚ and images.","Technology Platform","","","Generally Available","J80","https://discovery-center.cloud.sap/ai-feature/809faf14-e4ef-47e0-abd4-2b51f7500892/"
"Database Administration","AI Feature","Base","SAP HANA Cloud","AI-powered tool for task simplification and efficiency enhancement.","Technology Platform","","Joule","Generally Available","J214","https://discovery-center.cloud.sap/ai-feature/28b14ec8-e7be-4966-b33e-787021b2d05d/"
"Deal Intelligence","AI Feature","Base","SAP Sales Cloud Version 2","Predict if an opportunity can be won or lost.","Customer Relationship Management","","","Generally Available","J795","https://discovery-center.cloud.sap/ai-feature/57ace435-bf2c-4749-b628-523d40ed2e09/"
"Decision Generation","AI Feature","Base","SAP Build Process Automation","Assist process design by generating decision artifacts.","Technology Platform","","","Generally Available","J642","https://discovery-center.cloud.sap/ai-feature/0517fabc-df67-4042-9015-a57c1a9079ba/"
"Decision Summarization","AI Feature","Base","SAP Build Process Automation","Assist users with process automation design by summarizing undocumented rules.","Technology Platform","","","Generally Available","J643","https://discovery-center.cloud.sap/ai-feature/d9b9af67-e0a9-49cc-b79b-a8eddde1731b/"
"Declaration Image Analysis","AI Feature","","SAP Green Token","Automatically extract information from declarations of different formats.","Supply Chain Management","","","Beta","J173","https://discovery-center.cloud.sap/ai-feature/ef9efdef-7300-4580-9c54-5664e1c99f95/"
"Deep Research Capability","AI Feature","","Joule","Get tailored business insights combining internal SAP and external web data.","Technology Platform","","Joule","Beta","J1173","https://discovery-center.cloud.sap/ai-feature/0cbab727-02fe-47d3-9bf1-ff96d6c2ae62/"
"Demand Intake","AI Feature","Base","SAP Ariba Intake Management","Natural language queries to route queries to correct intake process.","Spend Management","","","Generally Available","J948","https://discovery-center.cloud.sap/ai-feature/3e7d54f8-2981-45bf-b528-b432b0d1b855/"
"Demand Sensing","AI Feature","Base","SAP Integrated Business Planning","Create optimized daily forecasts for multiple products based on demand.","Supply Chain Management","","","Generally Available","J817","https://discovery-center.cloud.sap/ai-feature/08b50280-d6f0-4731-ba50-a6faa578f9d8/"
"Depreciation Key Explanation","AI Feature","Premium","SAP S/4HANA Cloud Private Edition","Explain depreciation types and calculation procedures in natural language.","Cloud ERP applications","Joule Premium for Financial Management","","Generally Available","J898","https://discovery-center.cloud.sap/ai-feature/7f81035d-7177-494f-b232-b1e290c05f0c/"
"Development Goal Creation","AI Feature","Premium","SAP SuccessFactors Performance and Goals","Build meaningful and inspiring development goals.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J37","https://discovery-center.cloud.sap/ai-feature/ef16dd9e-a2db-44df-bb8b-23b16c68bd88/"
"Digital Service Agent","AI Agent","Premium","","Enhance CX with swift‚ informed‚ and knowledge-based support.","Customer Relationship Management","","","Generally Available","J663","https://discovery-center.cloud.sap/ai-feature/9bd66628-12f0-46f7-b9d7-ce4ff725a946/"
"Dispute Resolution Agent","AI Agent","","","Automates the process of resolving disputes about incorrect invoices.","Financial Management","","Featured‚Joule","Beta","J855","https://discovery-center.cloud.sap/ai-feature/bbf06e89-a47a-4a80-a619-97fa7ba6af92/"
"Dispute Resolution Agent","AI Agent","Premium","","Automates the process of resolving disputes about incorrect invoices.","Cloud ERP applications","","New‚Joule","Beta","J1043","https://discovery-center.cloud.sap/ai-feature/d3a94887-d357-4620-98d5-784a035f9e41/"
"Document Data Extraction","AI Feature","Base","SAP Build Process Automation","Extract and process document data from PDFs and images using AI.","Technology Platform","","","Generally Available","J1284","https://discovery-center.cloud.sap/ai-feature/577af53b-83ac-4c49-8b02-72114d45ceb6/"
"Document Grounding","AI Feature","Premium","","Add context to Joule Q&A using information retrieved from custom documents.","Technology Platform","","Joule","Generally Available","J73","https://discovery-center.cloud.sap/ai-feature/fedeca14-3e69-472c-a0ea-82396735c35f/"
"Document Processing","AI Feature","Base","SAP Self-Billing Cockpit","Extract invoice data from files to automate billing in SAP Self-Billing Cockpit.","Financial Management","","","Generally Available","J1048","https://discovery-center.cloud.sap/ai-feature/70e0fc04-7346-405a-a385-5ad137f11ff3/"
"Document Summary","AI Feature","Base","SAP Integrated Product Development","Summarize complex engineering documents for faster insights and decision making.","Supply Chain Management","","Joule","Generally Available","J194","https://discovery-center.cloud.sap/ai-feature/e8f27a24-5dcd-4b3d-a3db-5c246fde9da5/"
"Duplicate Detection","AI Feature","Premium","SAP Sales Cloud Version 2","Detect duplicate accounts automatically.","Customer Relationship Management","Joule Premium for Customer Experience","","Generally Available","J187","https://discovery-center.cloud.sap/ai-feature/9de7582d-870d-4802-a4ec-90429c6922a5/"
"Duplicate Detection","AI Feature","Premium","SAP Service Cloud Version 2","Detect duplicate accounts automatically.","Customer Relationship Management","Joule Premium for Customer Experience","","Generally Available","J791","https://discovery-center.cloud.sap/ai-feature/fbfe32ee-815b-4543-bab3-fe5376e60d48/"
"E-mail Draft Recommender","AI Feature","Premium","SAP Enterprise Service Management","Generate e-mail drafts based on past interactions via AI.","Customer Relationship Management","","","Generally Available","J21","https://discovery-center.cloud.sap/ai-feature/9aa89525-687f-4c69-8849-a107d366679c/"
"E-mail Draft Recommender","AI Feature","Premium","SAP Sales Cloud Version 2","Reduce time to draft responses based on previous interactions.","Customer Relationship Management","Joule Premium for Customer Experience","Featured","Generally Available","J5","https://discovery-center.cloud.sap/ai-feature/92718e8e-da5f-426d-9561-d53b93671e08/"
"E-mail Draft Recommender","AI Feature","Premium","SAP Service Cloud Version 2","Produce email drafts using AI based on previous exchanges.","Customer Relationship Management","Joule Premium for Customer Experience","","Generally Available","J9","https://discovery-center.cloud.sap/ai-feature/05a916d0-170e-4be2-b60a-a3bc388d383b/"
"Easy Fill","AI Feature","","SAP S/4HANA Cloud Public Edition","Enables users to populate fields of a business object using natural language.","Financial Management","","","Beta","J281","https://discovery-center.cloud.sap/ai-feature/b054b110-d555-49ef-b233-e16be1a13eed/"
